event_id,event_label,event_date,pre_n,post_n,beta1,beta2,beta3,p_beta2,p_beta3,sig_beta2,sig_beta3,r2,p_beta2_holm,p_beta3_holm,sig_beta2_holm,sig_beta3_holm
E001,재혼황후 웹툰 연재 시작,2019-10,73,78,1.2977,32.074,0.1227,0.0,0.4559,True,False,0.9209,0.0,0.9118,True,False
E003,선재업고튀어 드라마 방영,2024-04,127,24,1.8824,6.263,-3.3333,0.4751,0.0,False,True,0.9395,0.9118,0.0,False,True
